epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2298.54,0.53761,0.48014,0.86862,0.9255,0.97622,0.995,0.67887,0.93848,0.58393,1.07369,0.000176094,0.000176094,0.000176094
70,2330.83,0.53874,0.48598,0.85741,0.92112,0.97661,0.995,0.66891,0.98509,0.59375,1.09742,0.000162345,0.000162345,0.000162345
71,2362.72,0.52003,0.52676,0.84441,0.92296,0.97417,0.995,0.67646,0.94371,0.57675,1.07758,0.000148596,0.000148596,0.000148596
72,2394.39,0.49262,0.52445,0.82642,0.92068,0.97194,0.9785,0.69556,0.91307,0.57938,1.06543,0.000134848,0.000134848,0.000134848
73,2426.01,0.49871,0.53954,0.82878,0.92134,0.9729,0.9785,0.6686,0.95047,0.58817,1.08358,0.000121099,0.000121099,0.000121099
74,2457.4,0.50061,0.5341,0.82266,0.92352,0.97572,0.9785,0.64403,1.0071,0.58545,1.11555,0.00010735,0.00010735,0.00010735
75,2488.94,0.48734,0.52407,0.82533,0.97366,0.95534,0.995,0.6551,1.02932,0.5905,1.12691,9.36017e-05,9.36017e-05,9.36017e-05
76,2520.39,0.47359,0.50467,0.83125,0.96615,0.96692,0.995,0.69307,0.96738,0.57899,1.09815,7.98531e-05,7.98531e-05,7.98531e-05
77,2551.56,0.47978,0.50488,0.83112,0.96272,0.95315,0.995,0.6901,0.97318,0.57512,1.10102,6.61045e-05,6.61045e-05,6.61045e-05
78,2582.96,0.47133,0.49979,0.82269,0.95116,0.95045,0.995,0.66562,1.02016,0.58243,1.12534,5.23559e-05,5.23559e-05,5.23559e-05
79,2615.06,0.47555,0.48871,0.83019,0.91607,0.97997,0.995,0.63453,1.05381,0.58611,1.14263,3.86073e-05,3.86073e-05,3.86073e-05
80,2646.18,0.45619,0.49618,0.81831,0.94598,0.94826,0.995,0.63571,1.05967,0.58518,1.14391,2.48586e-05,2.48586e-05,2.48586e-05
