epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,286.286,0.559,0.49286,0.87763,0.94328,1,0.995,0.66674,0.95564,0.57574,1.11901,0.000231088,0.000231088,0.000231088
66,289.872,0.55385,0.48479,0.89187,0.96614,0.99228,0.995,0.65716,0.94283,0.5745,1.12292,0.000217339,0.000217339,0.000217339
67,293.498,0.55425,0.49528,0.88843,0.97544,0.9914,0.995,0.65181,0.96604,0.58364,1.13484,0.000203591,0.000203591,0.000203591
68,297.016,0.55399,0.48717,0.88703,0.97512,0.98694,0.995,0.65322,0.97041,0.58944,1.13572,0.000189842,0.000189842,0.000189842
69,300.513,0.5549,0.48281,0.86201,0.97278,0.98194,0.995,0.64341,0.96389,0.58689,1.1324,0.000176094,0.000176094,0.000176094
70,304.09,0.53122,0.47497,0.86799,0.96935,0.98169,0.995,0.64578,0.95257,0.57976,1.12966,0.000162345,0.000162345,0.000162345
71,307.469,0.52184,0.53488,0.85449,0.96791,0.9815,0.995,0.64873,0.96736,0.56988,1.13377,0.000148596,0.000148596,0.000148596
72,310.621,0.5332,0.53792,0.85424,0.966,0.98353,0.995,0.63358,1.00309,0.57973,1.1442,0.000134848,0.000134848,0.000134848
73,313.74,0.50799,0.53536,0.84081,0.97373,0.99581,0.995,0.61814,1.01754,0.59009,1.14789,0.000121099,0.000121099,0.000121099
74,316.818,0.49875,0.5316,0.85323,0.96504,1,0.995,0.6265,1.00663,0.57715,1.14848,0.00010735,0.00010735,0.00010735
75,320.015,0.49823,0.49941,0.86361,0.96385,1,0.995,0.64303,0.98563,0.57685,1.14423,9.36017e-05,9.36017e-05,9.36017e-05
76,323.21,0.49508,0.50582,0.84295,0.967,1,0.995,0.65903,0.97161,0.57251,1.13813,7.98531e-05,7.98531e-05,7.98531e-05
77,326.485,0.50121,0.49378,0.85175,0.96527,1,0.995,0.67475,0.96724,0.56489,1.13477,6.61045e-05,6.61045e-05,6.61045e-05
78,329.623,0.48266,0.48178,0.83318,0.96542,1,0.995,0.67427,0.96369,0.56169,1.13482,5.23559e-05,5.23559e-05,5.23559e-05
79,332.847,0.48781,0.49594,0.85532,0.96475,1,0.995,0.6697,0.96895,0.56164,1.13334,3.86073e-05,3.86073e-05,3.86073e-05
80,336.012,0.50144,0.49668,0.87177,0.96516,1,0.995,0.67975,0.97175,0.565,1.136,2.48586e-05,2.48586e-05,2.48586e-05
