epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,292.899,0.54126,0.59476,0.8655,0.95332,0.97987,0.995,0.72111,0.95303,0.68538,1.09134,0.000177823,0.000177823,0.000177823
67,296.985,0.54057,0.58076,0.86357,0.96052,0.97009,0.995,0.72447,0.93593,0.67527,1.09846,0.000166574,0.000166574,0.000166574
68,301.066,0.53952,0.55803,0.85805,0.95876,0.96941,0.995,0.71935,0.94245,0.68118,1.10736,0.000155325,0.000155325,0.000155325
69,305.296,0.55716,0.59339,0.85332,0.96317,0.97601,0.995,0.71369,0.94321,0.6752,1.115,0.000144077,0.000144077,0.000144077
70,309.466,0.53005,0.55855,0.86376,0.9683,0.98096,0.995,0.7189,0.94546,0.66581,1.11829,0.000132828,0.000132828,0.000132828
71,313.543,0.52174,0.63674,0.82917,0.91809,0.99134,0.98321,0.71416,0.95146,0.65844,1.11522,0.000121579,0.000121579,0.000121579
72,317.461,0.5256,0.6211,0.84535,0.91852,0.98208,0.98321,0.69222,0.98241,0.67775,1.12283,0.00011033,0.00011033,0.00011033
73,321.371,0.49579,0.61904,0.82732,0.9064,0.98766,0.98321,0.69269,0.99838,0.6962,1.12608,9.9081e-05,9.9081e-05,9.9081e-05
74,325.61,0.50363,0.64004,0.84434,0.91608,0.99348,0.98321,0.69676,0.98633,0.68107,1.12516,8.78321e-05,8.78321e-05,8.78321e-05
75,329.67,0.50094,0.60175,0.85079,0.92781,0.99994,0.98321,0.70857,0.97711,0.66815,1.12385,7.65832e-05,7.65832e-05,7.65832e-05
76,333.903,0.49242,0.59043,0.8342,0.92177,1,0.98321,0.71424,0.96425,0.65824,1.11251,6.53344e-05,6.53344e-05,6.53344e-05
77,338.043,0.47753,0.58172,0.83465,0.92076,1,0.98321,0.71416,0.97288,0.65701,1.1164,5.40855e-05,5.40855e-05,5.40855e-05
78,341.992,0.47785,0.57452,0.83441,0.92031,1,0.98321,0.71551,0.98098,0.65565,1.11977,4.28366e-05,4.28366e-05,4.28366e-05
79,345.761,0.46276,0.58042,0.82709,0.92457,1,0.98321,0.71909,0.97875,0.64607,1.11922,3.15878e-05,3.15878e-05,3.15878e-05
80,349.794,0.48196,0.57815,0.84427,0.92636,1,0.98321,0.70725,0.98057,0.64859,1.1222,2.03389e-05,2.03389e-05,2.03389e-05
